,massini,zini,yini,alphaMLT,age,eta,alphaFe,FeH,LPhot,Teff,numax,dnuSer,logLPhot
304,0.735,0.0007144290000000164,0.328219604,2.20083008,11091.54072,0.177593994,0.0,-1.224410882033151,45.663946593863756,5321.968057,0.012001573677832826,0.03689434811364978,1.6595734435069986
161,0.934,0.009494367000000059,0.291903076,1.67958984,10960.89854,0.165490723,0.0,-0.11024081019680576,69.28634097763911,4315.83525,0.00482599030640284,0.016104999509312268,1.8406476267803726
203,1.014,0.010443574000000011,0.254118652,1.83183594,10826.0121,0.00754394531,0.0,-0.08976565010436124,32.77379113364535,4597.838126,0.013893689618604963,0.03595923905177172,1.515526681638415
966,1.153,0.018458525999999975,0.220174561,2.12099609,11274.61477,0.177502441,0.0,0.1449593928248822,41.51807490899636,4568.520151,0.012160145144522846,0.031457251815332404,1.6182372081404333
34,1.153,0.018458525999999975,0.220174561,2.12099609,10928.86316,0.177502441,0.0,0.1362727569495698,4.899780161206449,4912.218993,0.13309427594969128,0.20001852439046594,0.6901765949434622
667,1.081,0.01730601799999998,0.25166687,2.29379883,11182.67824,0.139801025,0.0,0.13346063503068045,75.7195362974519,4539.887403,0.006113232858534684,0.0189447553892353,1.8792079457028195
601,0.876,0.0005851540000000044,0.230695801,1.55644531,10743.77014,0.00739746094,0.0,-1.3668407120753403,103.04071388455539,4764.978951,0.0043229545164920995,0.0157184663299168,2.01300885889626
784,0.948,0.0034263590000000177,0.22111084,1.70996094,11207.09259,0.19855957,0.0,-0.5989757163336579,40.157433437337495,4712.124305,0.011504657734702,0.032037606464916525,1.6037659481703075
51,0.825,0.0031001770000000373,0.297425537,1.71435547,11008.26081,0.137512207,0.0,-0.6030079531549717,11.059542789911596,5073.013836,0.04718856038798432,0.10004505204095396,1.0437371732686072
741,0.876,0.0005851540000000044,0.230695801,1.55644531,10699.48351,0.00739746094,0.0,-1.366840712001264,41.29242516900676,4980.405013,0.012597459986483872,0.03586174180606062,1.6158703904210225
609,1.153,0.018458525999999975,0.220174561,2.12099609,11175.58753,0.177502441,0.0,0.144959392765662,18.78424676027041,4735.872618,0.03052607198355284,0.06415568520523038,1.2737937847378722
96,0.846,0.0008699669999999715,0.252277832,1.77363281,11000.72928,0.104077148,0.0,-1.182230521141494,103.94133083723348,4848.204046,0.004377908959341919,0.016095739011015135,2.016788273113805
265,0.876,0.005658417000000027,0.296156006,2.03154297,10845.27774,0.26114502,0.0,-0.33659491484849235,42.64786401456058,4841.647641,0.010993544314487907,0.03184809184885571,1.6298972847434103
312,1.014,0.010443574000000011,0.254118652,1.83183594,10826.75645,0.00754394531,0.0,-0.08976565010436124,33.43370124804992,4592.584292,0.013565035118310306,0.035267895214702374,1.5241844574369092
292,1.014,0.010443574000000011,0.254118652,1.83183594,10751.62035,0.00754394531,0.0,-0.08976565010436124,18.709309589183565,4714.406913,0.026572267325950295,0.05945585004197279,1.2720577614636586
751,0.898,0.0038236190000000003,0.26432251,2.13330078,10694.14377,0.0271362305,0.0,-0.5273156147694747,54.15060304212169,4935.445492,0.00953671074127037,0.02862225380228342,1.7336032974600926
736,0.898,0.0038236190000000003,0.26432251,2.13330078,10700.92892,0.0271362305,0.0,-0.5273156147694747,60.488521632865314,4906.953123,0.00836549470230939,0.025860741474147037,1.781672970281285
782,0.898,0.0038236190000000003,0.26432251,2.13330078,10680.58797,0.0271362305,0.0,-0.5273156147694747,42.302082579303175,4998.162062,0.01276118769004978,0.0358518691711546,1.6263617487092152
189,0.857,0.0005185349999999866,0.23477417,2.03427734,11095.30081,0.14732666,0.0,-1.4224821647756354,14.094168224128966,5421.921646,0.04852734994434761,0.10408081073008667,1.1490394508120885
430,0.825,0.0031001770000000373,0.297425537,1.71435547,11131.58374,0.137512207,0.0,-0.6004407666453155,34.59171554862195,4816.988859,0.012568676453815266,0.035654856942065875,1.5389721010379083
190,0.903,0.009611334000000027,0.306193237,2.1934082,10965.63526,0.235748291,0.0,-0.10088464996493203,7.199029529381176,5170.943241,0.08482304540377085,0.1540266168814477,0.8572739549810433
825,0.851,0.0013426080000000784,0.254015503,2.11137695,11217.55396,0.0491271973,0.0,-0.9918327901824857,102.52968676547061,4979.216141,0.004914040072836832,0.017709469860612892,2.010849630579468
254,0.876,0.005658417000000027,0.296156006,2.03154297,10883.72792,0.26114502,0.0,-0.33659491484849235,76.72246986479459,4683.381311,0.005421624784627369,0.018430274815459478,1.8849225752807732
116,0.735,0.0007144290000000164,0.328219604,2.20083008,10949.64191,0.177593994,0.0,-1.2285504995422938,11.255727535101403,5584.477526,0.05777426900702245,0.12490312668882698,1.0513735716837829
842,0.898,0.0038236190000000003,0.26432251,2.13330078,10623.09525,0.0271362305,0.0,-0.5274203379408178,20.306013419136764,5161.919877,0.029768374228085488,0.06926702146689084,1.3076246688497495
850,1.153,0.018458525999999975,0.220174561,2.12099609,11223.28682,0.177502441,0.0,0.144959392765662,30.81211916276651,4631.105051,0.01719892718466261,0.0410828873079788,1.4887215687825663
984,1.153,0.018458525999999975,0.220174561,2.12099609,11287.71316,0.177502441,0.0,0.1449593928248822,53.372486167446695,4504.224487,0.008997830556509887,0.02491497172310067,1.7273174333386283
822,0.898,0.0038236190000000003,0.26432251,2.13330078,10652.39643,0.0271362305,0.0,-0.5273156147694747,28.02309542381695,5094.532011,0.020598759935385392,0.05202879159589375,1.4475161056547237
72,0.843,0.003803819999999958,0.293347168,2.28886719,11122.3853,0.0172119141,0.0,-0.5132757177655766,44.24848380135205,5094.479242,0.012245756077832156,0.035492807031692525,1.645898393949377
499,0.946,0.00785395599999994,0.268813477,1.73164063,11152.5659,0.236865234,0.0,-0.20768177623138737,29.725066380655225,4608.498822,0.014352418795839284,0.03752104857046903,1.4731228331383348
296,0.948,0.0034263590000000177,0.22111084,1.70996094,10799.28772,0.19855957,0.0,-0.6119407301277425,4.138310377015081,5188.867516,0.15683810640265752,0.24497624006370802,0.6168230600295608
12,0.876,0.005658417000000027,0.296156006,2.03154297,10873.55108,0.26114502,0.0,-0.33659491484849235,58.0943277951118,4765.352421,0.0076175733739501416,0.0239824211189794,1.7641337308836158
