Star,RAdeg,DEdeg,Teff,logg,Vt,Umag,Bmag,Vmag,Icmag,Jmag,Hmag,Kmag
34006,245.87135820,-26.50826984,4320,1.67,1.61,14.92,13.37,11.87,9.97,8.59,7.81,7.51
34130,245.88104790,-26.50687941,4550,2.08,1.40,14.98,13.87,12.54,10.82,9.58,8.80,8.60
34167,245.90419020,-26.50638230,4950,2.60,1.40,15.63,15.08,13.95,12.44,11.31,10.67,10.52
34240,245.90241860,-26.50557893,4470,1.95,1.41,14.86,13.74,12.37,10.63,9.35,8.62,8.43
34502,245.92046770,-26.50260567,4860,2.70,1.33,15.49,14.78,13.62,12.09,10.96,10.26,10.15
34579,245.93359340,-26.50170174,4330,1.59,1.49,14.67,13.27,11.83,10.07,8.77,7.91,7.71
34726,245.85009660,-26.50013473,4600,2.24,1.35,15.17,14.14,12.86,11.16,9.89,9.13,8.99
35022,245.94949140,-26.49673818,4850,2.51,1.36,15.50,14.79,13.62,12.10,10.96,10.31,10.11
35061,245.92398380,-26.49632071,4860,2.67,1.23,15.68,15.02,13.85,12.31,11.15,10.48,10.34
35455,245.92832620,-26.49099726,4600,2.10,1.29,14.89,13.99,12.71,11.05,9.83,9.08,8.92
35487,245.95940170,-26.49051723,4850,2.67,1.24,15.33,14.61,13.45,11.95,10.82,10.18,9.99
35508,245.85414850,-26.49026951,4780,2.48,1.18,15.66,14.96,13.80,12.23,11.05,10.37,10.18
35571,245.88484770,-26.48951670,4880,2.79,1.10,15.66,15.07,13.93,12.39,11.25,10.61,10.42
35627,245.95411440,-26.48867681,4830,2.37,1.20,15.48,14.94,13.80,12.30,11.14,10.50,10.34
35688,245.91086870,-26.48777246,4720,2.25,1.33,15.32,14.48,13.27,11.68,10.46,9.75,9.57
35774,245.87296550,-26.48657771,4450,1.92,1.44,14.88,13.68,12.32,10.59,9.32,8.57,8.35
36215,245.91658540,-26.48028356,4300,1.59,1.53,14.74,13.29,11.80,9.96,8.61,7.82,7.57
36356,245.90812220,-26.47815339,4820,2.66,1.26,15.52,14.76,13.57,12.01,10.82,10.17,9.97
36929,245.92953710,-26.46873630,4820,2.55,1.28,15.50,14.75,13.59,12.07,10.93,10.25,10.07
36942,245.97083610,-26.46848900,4800,2.66,1.23,15.43,14.74,13.56,12.04,10.90,10.23,10.08
37215,245.89085360,-26.46381984,4790,2.50,1.21,15.61,14.90,13.72,12.15,10.94,10.26,10.11
38075,245.84038430,-26.44634617,4800,2.54,1.25,15.61,14.83,13.65,12.05,10.82,10.18,9.99
38383,245.84437580,-26.43947709,4590,1.87,1.45,15.02,14.03,12.74,11.02,9.74,8.99,8.79
38399,245.88487200,-26.43904923,4730,2.35,1.38,15.23,14.37,13.14,11.51,10.29,9.56,9.39
38896,245.91189860,-26.42854610,4760,2.53,1.31,15.26,14.36,13.14,11.55,10.33,9.64,9.46
42490,246.00378460,-26.59808973,4570,2.08,1.41,14.95,13.94,12.56,10.84,9.71,8.95,8.76
42620,245.99313500,-26.59417329,4600,2.05,1.37,14.84,13.91,12.59,10.94,9.85,9.11,8.97
43370,246.03196790,-26.57365632,4920,2.80,1.32,15.63,15.03,13.85,12.31,11.29,10.66,10.50
44243,246.02382800,-26.55029031,4860,2.80,1.17,15.51,14.91,13.75,12.24,11.23,10.59,10.42
44595,246.06621120,-26.54096589,4750,2.40,1.40,15.02,14.23,13.00,11.45,10.42,9.75,9.58
44616,245.98944100,-26.54022147,4620,2.20,1.44,14.99,13.99,12.65,10.99,9.82,9.11,8.89
45163,246.00502890,-26.52572879,4770,2.40,1.26,15.27,14.59,13.40,11.88,10.81,10.17,9.98
45895,246.01787760,-26.50775258,4720,2.25,1.34,14.93,14.22,12.99,11.43,10.38,9.71,9.52
5359,245.91226500,-26.36929347,4800,2.44,1.28,15.60,14.78,13.58,12.01,10.87,10.21,10.05
