#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2025-08-11T12:58:50 [V7.5.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-08-11T12:58:50	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/490/625/results&-order=I&-out=Star&-out=RAJ2000&-out=DEJ2000&-out=Teff&-out=logg&-out=Bmag&-out=Vmag&-out=Icmag&-out=Kmag&-out=[Fe/HI]&-out=[O/Fe]&-out=[Mg/Fe]&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_34900625
#Name: J/A+A/490/625
#Title: Abundances of NGC 6121 red giants (Marino+, 2008)
#INFO	ivoid=ivo://cds.vizier/j/a+a/490/625	    IVOID of underlying data collection
#INFO	creator=Marino A.F.	    First author or institution
#INFO	cites=bibcode:2008A&A...490..625M	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2008	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/490/625	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.34900625	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-22	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_490_625_results:
#Name: J/A+A/490/625/results
#Title: Results: atmospheric parameters, photometry,  and chemical abundances
#Column	Star	(I5)	[5359/45895] Star identification number	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Teff	(I4)	Effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	Surface gravity	[ucd=phys.gravity]
#Column	Bmag	(F5.2)	? Johnson B magnitude	[ucd=phot.mag;em.opt.B]
#Column	Vmag	(F5.2)	? Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	Icmag	(F5.2)	? Cousisn I magnitude	[ucd=phot.mag;em.opt.I]
#Column	Kmag	(F5.2)	? 2MASS K magnitude	[ucd=phot.mag;em.IR.K]
#Column	[Fe/HI]	(F5.2)	Abundance ratio [Fe/HI]	[ucd=phys.abund.Fe;arith.ratio]
#Column	[O/Fe]	(F5.2)	? Abundance ratio [O/Fe]	[ucd=phys.abund;arith.ratio]
#Column	[Mg/Fe]	(F5.2)	Abundance ratio [Mg/Fe]	[ucd=phys.abund;arith.ratio]
Star|RAJ2000|DEJ2000|Teff|logg|Bmag|Vmag|Icmag|Kmag|[Fe/HI]|[O/Fe]|[Mg/Fe]
30209|245.892435|-26.546815|4880| 2.62|14.87|13.66|12.05| 9.99|-0.99| 0.42| 0.46
30345|245.949944|-26.545241|4850| 2.73|15.00|13.84|12.31|10.39|-1.06| 0.32| 0.44
30450|245.861448|-26.544113|4760| 2.53|14.59|13.34|11.69| 9.59|-1.00| 0.40| 0.52
30452|245.887688|-26.544111|4830| 2.56|15.07|13.88|12.26|10.22|-1.00| 0.40| 0.50
30549|245.888152|-26.542946|4830| 2.52|14.86|13.66|12.05| 9.99|-1.09| 0.45| 0.52
30598|245.896617|-26.542352|4360| 1.75|13.49|12.05|10.23| 7.75|-1.07| 0.43| 0.54
30653|245.887933|-26.541841|4660| 2.30|14.40|13.14|11.50| 9.38|-1.06| 0.47| 0.47
30675|245.902367|-26.541578|4830| 2.58|14.77|13.58|12.00|     |-1.07| 0.36| 0.55
30711|245.851562|-26.541232|4560| 2.25|13.86|12.49|10.73| 8.46|-1.01| 0.37| 0.47
30719|245.903109|-26.541162|4810| 2.65|15.13|13.97|12.43|     |-1.19| 0.44| 0.50
30751|245.943024|-26.540896|4430| 1.78|13.61|12.20|10.45| 8.16|-1.09| 0.40| 0.58
30924|245.896243|-26.538834|4810| 2.60|14.79|13.61|12.03| 8.40|-1.09| 0.48| 0.47
30933|245.958958|-26.538736|4800| 2.63|14.70|13.49|11.92| 9.91|-1.07| 0.44| 0.44
31015|245.897109|-26.537953|4800| 2.47|14.21|13.00|11.38| 9.29|-1.07| 0.50| 0.51
31306|245.926076|-26.535059|4900| 2.87|15.12|13.97|12.44|10.50|-1.11|     | 0.41
31376|245.912191|-26.534324|4800| 2.59|14.52|13.29|11.68| 9.59|-1.00| 0.33| 0.46
31532|245.895616|-26.532901|4770| 2.60|14.53|13.33|11.76| 9.72|-1.03| 0.47| 0.44
31665|245.930071|-26.531645|4650| 2.17|14.12|12.85|11.18| 9.04|-1.07| 0.48| 0.49
31803|245.909258|-26.530236|4850| 2.60|15.14|13.99|12.46|10.51|-1.13| 0.38| 0.44
31845|245.853704|-26.529822|4700| 2.42|14.34|13.09|11.44| 9.29|-1.06| 0.27| 0.41
32055|245.917098|-26.527739|4300| 1.57|13.36|11.88|10.06| 7.66|-1.12| 0.31| 0.55
32121|245.838129|-26.527131|4840| 2.58|14.67|13.45|11.84| 9.75|-0.93|     | 0.44
32151|245.837086|-26.526884|4770| 2.43|14.59|13.38|11.75| 9.70|-1.07|     | 0.42
32317|245.862250|-26.525361|4510| 1.88|13.93|12.56|     | 8.57|-1.07| 0.37| 0.54
32347|245.920792|-26.525056|4640| 2.22|     |     |     | 9.00|-1.09| 0.40| 0.51
32583|245.899860|-26.522671|4850| 2.54|14.80|13.61|12.03| 9.95|-1.08| 0.46| 0.46
32627|245.978408|-26.522197|4750| 2.42|14.34|13.14|11.59| 9.61|-1.10| 0.50| 0.51
32700|245.917140|-26.521459|4560| 2.12|13.86|12.52|10.80| 8.57|-1.02| 0.49| 0.61
32724|245.923957|-26.521278|4850| 2.73|14.82|13.62|12.04|10.04|-1.03| 0.51| 0.48
32782|245.891064|-26.520654|4880| 2.60|15.10|13.94|12.38|     |-1.05| 0.29| 0.45
32871|245.852724|-26.519844|4770| 2.48|14.92|13.72|12.09|10.01|-1.01| 0.40| 0.62
32874|245.914522|-26.519851|4600| 2.04|13.99|12.72|11.07| 8.93|-1.14| 0.41| 0.55
32933|245.839151|-26.519266|4430| 1.42|13.29|11.87|10.08| 7.79|-1.13| 0.48| 0.56
32968|245.891765|-26.518844|4630| 2.17|14.21|12.96|11.32| 9.15|-1.13| 0.41| 0.54
32988|245.909556|-26.518656|4850| 2.63|14.88|13.75|12.22|10.22|-1.09| 0.51| 0.44
33069|245.948513|-26.517837|4940| 3.05|14.71|13.53|11.99|10.02|-0.92| 0.39| 0.37
33195|245.864263|-26.516549|4620| 2.38|14.39|13.12|11.45| 9.36|-1.03| 0.48| 0.60
33414|245.842079|-26.514447|4840| 2.51|14.84|13.67|12.08|10.09|-1.05| 0.52| 0.49
33617|245.862530|-26.512339|4720| 2.35|14.57|13.36|11.76| 9.68|-1.09| 0.29| 0.54
33629|245.838162|-26.512219|4930| 2.80|15.06|13.90|12.34|10.36|-0.98|     | 0.39
33683|245.899144|-26.511763|4800| 2.57|14.66|13.48|11.91| 9.89|-1.05| 0.42| 0.51
33788|245.910702|-26.510601|4700| 2.37|14.24|12.99|11.38| 9.27|-1.02| 0.30| 0.47
33900|245.845916|-26.509332|4770| 2.48|14.69|13.51|11.93| 9.92|-1.06| 0.30| 0.49
33946|245.841471|-26.508878|4800| 2.62|14.89|13.71|12.14|10.15|-1.03| 0.23| 0.42
34006|245.871358|-26.508270|4320| 1.67|13.37|11.87| 9.97| 7.51|-1.06| 0.25| 0.52
34130|245.881048|-26.506879|4550| 2.08|13.87|12.54|10.82| 8.60|-1.09| 0.33| 0.53
34167|245.904190|-26.506382|4950| 2.60|15.08|13.95|12.44|10.52|-1.10|     | 0.56
34240|245.902419|-26.505579|4470| 1.95|13.74|12.37|10.63| 8.43|-1.10| 0.47| 0.55
34502|245.920468|-26.502606|4860| 2.70|14.78|13.62|12.09|10.15|-1.08| 0.35| 0.47
34579|245.933593|-26.501702|4330| 1.59|13.27|11.83|10.07| 7.71|-1.08| 0.25| 0.52
34726|245.850097|-26.500135|4600| 2.24|14.14|12.86|11.16| 8.99|-1.01| 0.37| 0.49
35022|245.949491|-26.496738|4850| 2.51|14.79|13.62|12.10|10.11|-1.08| 0.30| 0.52
35061|245.923984|-26.496321|4860| 2.67|15.02|13.85|12.31|10.34|-0.99| 0.50| 0.50
35455|245.928326|-26.490997|4600| 2.10|13.99|12.71|11.05| 8.92|-1.06| 0.45| 0.49
35487|245.959402|-26.490517|4850| 2.67|14.61|13.45|11.95| 9.99|-1.00| 0.36| 0.42
35508|245.854149|-26.490269|4780| 2.48|14.96|13.80|12.23|10.18|-1.05| 0.25| 0.41
35571|245.884848|-26.489517|4880| 2.79|15.07|13.93|12.39|10.42|-0.99| 0.45| 0.46
35627|245.954114|-26.488677|4830| 2.37|14.94|13.80|12.30|10.34|-1.08|     | 0.56
35688|245.910869|-26.487772|4720| 2.25|14.48|13.27|11.68| 9.57|-1.11| 0.21| 0.53
35774|245.872966|-26.486578|4450| 1.92|13.68|12.32|10.59| 8.35|-1.10| 0.43| 0.54
36215|245.916585|-26.480284|4300| 1.59|13.29|11.80| 9.96| 7.57|-1.11| 0.48| 0.52
36356|245.908122|-26.478153|4820| 2.66|14.76|13.57|12.01| 9.97|-1.05| 0.30| 0.44
36929|245.929537|-26.468736|4820| 2.55|14.75|13.59|12.07|10.07|-1.03| 0.34| 0.41
36942|245.970836|-26.468489|4800| 2.66|14.74|13.56|12.04|10.08|-0.98| 0.55| 0.52
37215|245.890854|-26.463820|4790| 2.50|14.90|13.72|12.15|10.11|-1.11| 0.45| 0.50
38075|245.840384|-26.446346|4800| 2.54|14.83|13.65|12.05| 9.99|-1.07|     | 0.53
38383|245.844376|-26.439477|4590| 1.87|14.03|12.74|11.02| 8.79|-1.10| 0.39| 0.54
38399|245.884872|-26.439049|4730| 2.35|14.37|13.14|11.51| 9.39|-1.08| 0.52| 0.55
38896|245.911899|-26.428546|4760| 2.53|14.36|13.14|11.55| 9.46|-1.02| 0.31| 0.48
42490|246.003785|-26.598090|4570| 2.08|13.94|12.56|10.84| 8.76|-1.07| 0.29| 0.48
42620|245.993135|-26.594173|4600| 2.05|13.91|12.59|10.94| 8.97|-1.09| 0.22| 0.49
43370|246.031968|-26.573656|4920| 2.80|15.03|13.85|12.31|10.50|-1.05|     | 0.40
44243|246.023828|-26.550290|4860| 2.80|14.91|13.75|12.24|10.42|-1.04|     | 0.39
44595|246.066211|-26.540966|4750| 2.40|14.23|13.00|11.45| 9.58|-1.07| 0.20| 0.52
44616|245.989441|-26.540221|4620| 2.20|13.99|12.65|10.99| 8.89|-1.04| 0.28| 0.53
45163|246.005029|-26.525729|4770| 2.40|14.59|13.40|11.88| 9.98|-1.10|     | 0.49
45895|246.017877|-26.507752|4720| 2.25|14.22|12.99|11.43| 9.52|-1.04| 0.43| 0.57
 5359|245.912265|-26.369293|4800| 2.44|14.78|13.58|12.01|10.05|-1.03| 0.42| 0.55

